,Name,lr,pg,fow,gpu,tag,fair,rule,seed,beta1,beta2,cheat,coach1,coach2,num_rb,num_sp,tb_log,ppo_eps,verbose,max_tick,opponent,resource,rule_dir,save_dir,executor1,executor2,grad_clip,inst_mode,lua_files,sp_factor,wandb_dir,frame_skip,no_terrain,ppo_epochs,train_mode,eval_factor,exec_reload,save_folder,coach_reload,train_epochs,max_num_units,max_raw_chars,num_prev_cmds,resource_dist,sampling_freq,wandb_version,exec_load_file,inst_dict_path,max_table_size,use_moving_avg,coach_load_file,game_per_thread,moving_avg_decay,save_replay_freq,train_batch_size,num_resource_bins,resource_bin_size,save_replay_per_games,Train/Agent-1/Loss,Loss/Both/Action-Loss,train/13/Loss,best_iteration,max_iterations,Loss/Both/Entropy,Train/Agent-1/Win,Train/Agent-2/Loss,Loss/Both/Value-Loss,_step,_runtime,_timestamp,train/13/Win,best_win_rate,Train/Agent-2/Win,ID,train/80/Loss,train/80/Win,Loss/Action-Loss,Loss/Entropy,Loss/Value-Loss,train/3/Win,train/3/Loss,train/21/Loss,train/21/Win,train/12/Loss,train/12/Win,train/14/Win,train/14/Loss,train/7/Loss,train/7/Win
0,twilight-wave-647,6e-06,ppo,1,"{'desc': None, 'value': 0}","{'desc': None, 'value': ''}","{'desc': None, 'value': 0}",13,777,0.9,0.999,"{'desc': None, 'value': 0}",rnn500,rnn500,25,"{'desc': None, 'value': 0}",1,0.2,"{'desc': None, 'value': False}",20000,rb,500,/home/gridsan/apjacob/minirts/scripts/self_play/rules/,matches2/dev,rnn,rnn,0.5,full,/home/gridsan/apjacob/minirts/game/game_MC/lua,2,/home/gridsan/apjacob/wandb/,50,"{'desc': None, 'value': False}",4,both,20,"{'desc': None, 'value': 0}",/home/gridsan/apjacob/save,"{'desc': None, 'value': 0}",1800,50,200,25,4,1,1,/raid/lingo/apjacob/minirts/save/,/home/gridsan/apjacob/minirts/data/dataset/dict.pt,100,1,/raid/lingo/apjacob/minirts/save/,1,0.98,"{'desc': None, 'value': 0}",32,11,50,1,0.04,0.014672705023289552,0.07,541,1788,0.0,0.96,0.96,0.07222656238385972,1786,248478.99998259544,1606079192.49737,0.93,0.98,0.04,27gqfp18,,,,,,,,,,,,,,,
1,solar-sun-646,6e-06,ppo,1,"{'desc': None, 'value': 0}","{'desc': None, 'value': ''}","{'desc': None, 'value': 0}",13,777,0.9,0.999,"{'desc': None, 'value': 0}",rnn500,rnn500,25,"{'desc': None, 'value': 0}",1,0.2,"{'desc': None, 'value': False}",20000,rb,500,/home/gridsan/apjacob/minirts/scripts/self_play/rules/,matches2/dev,rnn,rnn,0.5,full,/home/gridsan/apjacob/minirts/game/game_MC/lua,2,/home/gridsan/apjacob/wandb/,50,"{'desc': None, 'value': False}",4,both,20,"{'desc': None, 'value': 0}",/home/gridsan/apjacob/save,"{'desc': None, 'value': 0}",1800,50,200,25,4,1,1,/raid/lingo/apjacob/minirts/save/,/home/gridsan/apjacob/minirts/data/dataset/dict.pt,100,1,/raid/lingo/apjacob/minirts/save/,1,0.98,"{'desc': None, 'value': 0}",32,11,50,1,0.08,0.13297695045659327,0.11,521,1799,0.0,0.92,0.92,0.2953450416822135,1797,248420.6990365982,1606079134.1963098,0.89,0.96,0.08,3vupcsbs,,,,,,,,,,,,,,,
2,soft-darkness-645,6e-06,ppo,1,"{'desc': None, 'value': 0}","{'desc': None, 'value': ''}","{'desc': None, 'value': 0}",13,777,0.9,0.999,"{'desc': None, 'value': 0}",rnn500,rnn500,25,"{'desc': None, 'value': 0}",1,0.2,"{'desc': None, 'value': False}",20000,rb,500,/home/gridsan/apjacob/minirts/scripts/self_play/rules/,matches2/dev,rnn,rnn,0.5,full,/home/gridsan/apjacob/minirts/game/game_MC/lua,2,/home/gridsan/apjacob/wandb/,50,"{'desc': None, 'value': False}",4,both,20,"{'desc': None, 'value': 0}",/home/gridsan/apjacob/save,"{'desc': None, 'value': 0}",1800,50,200,25,4,1,1,/raid/lingo/apjacob/minirts/save/,/home/gridsan/apjacob/minirts/data/dataset/dict.pt,100,1,/raid/lingo/apjacob/minirts/save/,1,0.98,"{'desc': None, 'value': 0}",32,11,50,1,0.04,0.014672705023289552,0.07,541,1788,0.0,0.96,0.96,0.07222656238385972,1786,248478.99998259544,1606079192.49737,0.93,0.98,0.04,111v9f0d,,,,,,,,,,,,,,,
3,lyric-jazz-643,6e-06,ppo,1,"{'desc': None, 'value': 0}","{'desc': None, 'value': ''}","{'desc': None, 'value': 0}",13,777,0.9,0.999,"{'desc': None, 'value': 0}",rnn500,rnn500,25,"{'desc': None, 'value': 0}",1,0.2,"{'desc': None, 'value': False}",20000,rb,500,/home/gridsan/apjacob/minirts/scripts/self_play/rules/,matches2/dev,rnn,rnn,0.5,full,/home/gridsan/apjacob/minirts/game/game_MC/lua,2,/home/gridsan/apjacob/wandb/,50,"{'desc': None, 'value': False}",4,both,20,"{'desc': None, 'value': 0}",/home/gridsan/apjacob/save,"{'desc': None, 'value': 0}",1800,50,200,25,4,1,1,/raid/lingo/apjacob/minirts/save/,/home/gridsan/apjacob/minirts/data/dataset/dict.pt,100,1,/raid/lingo/apjacob/minirts/save/,1,0.98,"{'desc': None, 'value': 0}",32,11,50,1,0.28,0.2756760993421099,0.26,421,510,0.0,0.72,0.72,0.5864392211346097,508,95583.93060803412,1606078631.148838,0.74,0.78,0.28,19j9jez7,,,,,,,,,,,,,,,
4,stellar-totem-642,6e-06,ppo,1,"{'desc': None, 'value': 0}","{'desc': None, 'value': ''}","{'desc': None, 'value': 0}",13,777,0.9,0.999,"{'desc': None, 'value': 0}",rnn500,rnn500,25,"{'desc': None, 'value': 0}",1,0.2,"{'desc': None, 'value': False}",20000,rb,500,/home/gridsan/apjacob/minirts/scripts/self_play/rules/,matches2/dev,rnn,rnn,0.5,full,/home/gridsan/apjacob/minirts/game/game_MC/lua,2,/home/gridsan/apjacob/wandb/,50,"{'desc': None, 'value': False}",4,both,20,"{'desc': None, 'value': 0}",/home/gridsan/apjacob/save,"{'desc': None, 'value': 0}",1800,50,200,25,4,1,1,/raid/lingo/apjacob/minirts/save/,/home/gridsan/apjacob/minirts/data/dataset/dict.pt,100,1,/raid/lingo/apjacob/minirts/save/,1,0.98,"{'desc': None, 'value': 0}",32,11,50,1,0.16,0.22084372727437213,0.1,501,534,0.0,0.84,0.84,0.4274393433165642,532,95601.91594099998,1606078649.1362207,0.9,0.93,0.16,29ns3xv5,,,,,,,,,,,,,,,
5,sandy-shape-641,6e-06,ppo,1,"{'desc': None, 'value': 0}","{'desc': None, 'value': ''}","{'desc': None, 'value': 0}",13,777,0.9,0.999,"{'desc': None, 'value': 0}",rnn500,rnn500,25,"{'desc': None, 'value': 0}",1,0.2,"{'desc': None, 'value': False}",20000,rb,500,/home/gridsan/apjacob/minirts/scripts/self_play/rules/,matches2/dev,rnn,rnn,0.5,full,/home/gridsan/apjacob/minirts/game/game_MC/lua,2,/home/gridsan/apjacob/wandb/,50,"{'desc': None, 'value': False}",4,both,20,"{'desc': None, 'value': 0}",/home/gridsan/apjacob/save,"{'desc': None, 'value': 0}",1800,50,200,25,4,1,1,/raid/lingo/apjacob/minirts/save/,/home/gridsan/apjacob/minirts/data/dataset/dict.pt,100,1,/raid/lingo/apjacob/minirts/save/,1,0.98,"{'desc': None, 'value': 0}",32,11,50,1,0.12,0.09465411143477766,0.11,521,528,0.0,0.88,0.88,0.3041288148737525,526,95466.06575107574,1606078708.4330175,0.89,0.89,0.12,t3plnx45,,,,,,,,,,,,,,,
6,crimson-glitter-638,6e-06,ppo,1,"{'desc': None, 'value': 0}","{'desc': None, 'value': ''}","{'desc': None, 'value': 0}",13,777,0.9,0.999,"{'desc': None, 'value': 0}",rnn500,rnn500,25,"{'desc': None, 'value': 0}",1,0.2,"{'desc': None, 'value': False}",20000,rb,500,/home/gridsan/apjacob/minirts/scripts/self_play/rules/,matches2/dev,rnn,rnn,0.5,full,/home/gridsan/apjacob/minirts/game/game_MC/lua,2,/home/gridsan/apjacob/wandb/,50,"{'desc': None, 'value': False}",4,both,20,"{'desc': None, 'value': 0}",/home/gridsan/apjacob/save,"{'desc': None, 'value': 0}",1800,50,200,25,4,1,1,/raid/lingo/apjacob/minirts/save/,/home/gridsan/apjacob/minirts/data/dataset/dict.pt,100,1,/raid/lingo/apjacob/minirts/save/,1,0.98,"{'desc': None, 'value': 0}",32,11,50,1,0.16,0.134137505801492,0.08,481,1687,0.0,0.84,0.84,0.3348147665308624,1685,247927.9037098885,1606078604.8340974,0.92,0.97,0.16,19nk9jzr,,,,,,,,,,,,,,,
7,earnest-sponge-637,6e-06,ppo,1,"{'desc': None, 'value': 0}","{'desc': None, 'value': ''}","{'desc': None, 'value': 0}",13,777,0.9,0.999,"{'desc': None, 'value': 0}",rnn500,rnn500,25,"{'desc': None, 'value': 0}",1,0.2,"{'desc': None, 'value': False}",20000,rb,500,/home/gridsan/apjacob/minirts/scripts/self_play/rules/,matches2/dev,rnn,rnn,0.5,full,/home/gridsan/apjacob/minirts/game/game_MC/lua,2,/home/gridsan/apjacob/wandb/,50,"{'desc': None, 'value': False}",4,both,20,"{'desc': None, 'value': 0}",/home/gridsan/apjacob/save,"{'desc': None, 'value': 0}",1800,50,200,25,4,1,1,/raid/lingo/apjacob/minirts/save/,/home/gridsan/apjacob/minirts/data/dataset/dict.pt,100,1,/raid/lingo/apjacob/minirts/save/,1,0.98,"{'desc': None, 'value': 0}",32,11,50,1,0.04,0.0671020159956371,0.04,581,1801,0.0,0.96,0.96,0.16907218553344666,1800,230257.91819095612,1606060971.4155047,0.96,0.99,0.04,wae2uhah,,,,,,,,,,,,,,,
8,rural-bush-636,6e-06,ppo,1,"{'desc': None, 'value': 0}","{'desc': None, 'value': ''}","{'desc': None, 'value': 0}",13,777,0.9,0.999,"{'desc': None, 'value': 0}",rnn500,rnn500,25,"{'desc': None, 'value': 0}",1,0.2,"{'desc': None, 'value': False}",20000,rb,500,/home/gridsan/apjacob/minirts/scripts/self_play/rules/,matches2/dev,rnn,rnn,0.5,full,/home/gridsan/apjacob/minirts/game/game_MC/lua,2,/home/gridsan/apjacob/wandb/,50,"{'desc': None, 'value': False}",4,both,20,"{'desc': None, 'value': 0}",/home/gridsan/apjacob/save,"{'desc': None, 'value': 0}",1800,50,200,25,4,1,1,/raid/lingo/apjacob/minirts/save/,/home/gridsan/apjacob/minirts/data/dataset/dict.pt,100,1,/raid/lingo/apjacob/minirts/save/,1,0.98,"{'desc': None, 'value': 0}",32,11,50,1,0.12,0.1302050975251182,0.19,501,531,0.0,0.88,0.88,0.27942827672027537,529,95497.1975684166,1606078544.4177887,0.81,0.89,0.12,1m61049q,,,,,,,,,,,,,,,
9,serene-field-635,6e-06,ppo,1,"{'desc': None, 'value': 0}","{'desc': None, 'value': ''}","{'desc': None, 'value': 0}",13,777,0.9,0.999,"{'desc': None, 'value': 0}",rnn500,rnn500,25,"{'desc': None, 'value': 0}",1,0.2,"{'desc': None, 'value': False}",20000,rb,500,/home/gridsan/apjacob/minirts/scripts/self_play/rules/,matches2/dev,rnn,rnn,0.5,full,/home/gridsan/apjacob/minirts/game/game_MC/lua,2,/home/gridsan/apjacob/wandb/,50,"{'desc': None, 'value': False}",4,both,20,"{'desc': None, 'value': 0}",/home/gridsan/apjacob/save,"{'desc': None, 'value': 0}",1800,50,200,25,4,1,1,/raid/lingo/apjacob/minirts/save/,/home/gridsan/apjacob/minirts/data/dataset/dict.pt,100,1,/raid/lingo/apjacob/minirts/save/,1,0.98,"{'desc': None, 'value': 0}",32,11,50,1,0.24,0.2946696942591416,0.21,501,522,0.0,0.76,0.76,0.5940989027855397,520,95253.96052646636,1606078301.1819563,0.79,0.85,0.24,2y6c2y3o,,,,,,,,,,,,,,,
