"Name","ID","Created","Updated","rule_series","lr","split_train","best_win_rate_80","max_iterations","best_iteration_12","best_iteration_13","best_iteration_20","best_iteration_3","best_iteration_40","best_iteration_80","best_win_rate_12","best_win_rate_13","best_win_rate_20","best_win_rate_3","best_win_rate_40","files/global_step","Loss/Coach/Action-Loss","Loss/Coach/Entropy","Loss/Coach/Value-Loss","Loss/Executor/Action-Loss","Loss/Executor/Entropy","Loss/Executor/Value-Loss"
"rare-tree-39","20j1503w","2020-10-26T04:18:18.000Z","2020-11-02T15:17:41.000Z","[""80"",""40"",""20""]","0.000006","","0.92","1801","","","1383","","1682","1203","","","0.96","","0.96","","","","","","",""
"eager-resonance-40","368jsc92","2020-10-26T04:19:02.000Z","2020-11-02T15:18:22.000Z","[""80"",""40"",""20""]","0.000006","","0.92","1801","","","1683","","1023","1742","","","0.94","","0.8","","","","","","",""
"curious-lion-45","ttuhpt86","2020-10-26T04:30:20.000Z","2020-10-28T16:25:59.000Z","[""80"",""40"",""20""]","0.000006","","0.91","1801","","","1621","","1742","1443","","","0.92","","0.85","","","","","","",""
"northern-dew-81","7epjh9ce","2020-11-11T15:56:40.000Z","2020-11-14T19:47:14.000Z","[""80"",""40"",""20""]","0.000006","","0.89","1801","","","1322","","1443","1742","","","0.88","","0.81","","","","","","",""
"rose-voice-44","3a9lpl9l","2020-10-26T04:28:23.000Z","2020-10-28T16:23:52.000Z","[""80"",""40"",""20""]","0.000006","","0.86","1632","","","1202","","1561","1503","","","0.9","","0.94","","","","","","",""
"devoted-cloud-43","2g2r85tt","2020-10-26T04:24:23.000Z","2020-11-02T15:23:49.000Z","[""80"",""40"",""20""]","0.000006","","0.83","1801","","","961","","1563","1741","","","0.92","","0.96","","","","","","",""
"lively-smoke-80","2mly6zzj","2020-11-11T15:56:08.000Z","2020-11-14T19:45:36.000Z","[""80"",""40"",""20""]","0.000006","","0.83","1801","","","1621","","1681","1683","","","0.88","","0.82","","","","","","",""
"lilac-river-75","i2amf1ae","2020-11-11T15:51:29.000Z","2020-11-14T19:38:27.000Z","[""80"",""40"",""20""]","0.000006","","0.76","1801","","","1621","","1742","1743","","","0.73","","0.78","","","","","","",""
"skilled-snowball-67","3ocwvqme","2020-11-11T15:43:34.000Z","2020-11-14T19:24:28.000Z","[""80"",""40"",""20""]","0.000006","","0.74","1801","","","1741","","1683","1382","","","0.93","","0.94","","","","","","",""
"exalted-wind-66","2fdmda78","2020-11-09T16:16:22.000Z","2020-11-14T19:43:23.000Z","[""80"",""40"",""20""]","0.000006","","0.73","1801","","","1742","","1442","961","","","0.95","","0.88","","","","","","",""
"silvery-dew-61","38l2h1k9","2020-11-09T16:07:54.000Z","2020-11-14T19:28:11.000Z","[""80"",""40"",""20""]","0.000006","","0.72","1801","","","1501","","1681","1262","","","0.87","","0.95","","","","","","",""
"absurd-fire-64","11bbhsh4","2020-11-09T16:14:24.000Z","2020-11-14T19:40:01.000Z","[""3"",""12"",""13""]","0.000006","","","1801","1321","1021","","1202","","","0.81","0.96","","0.81","","","","","","","",""
"true-yogurt-73","17pkypmk","2020-11-11T15:50:46.000Z","2020-11-14T19:36:22.000Z","[""3"",""12"",""13""]","0.000006","","","1801","1201","1261","","1441","","","0.87","0.97","","0.8","","","","","","","",""
"happy-glitter-37","1j4hl8hq","2020-10-26T04:09:12.000Z","2020-11-02T15:07:54.000Z","[""3"",""12"",""13""]","0.000006","","","1801","1321","1141","","782","","","0.85","0.96","","0.8","","","","","","","",""
"tough-fog-74","1zek7zc4","2020-11-11T15:51:03.000Z","2020-11-14T19:37:08.000Z","[""3"",""12"",""13""]","0.000006","","","1801","1443","1503","","783","","","0.89","0.97","","0.8","","","","","","","",""
"driven-sunset-65","1zkrlkwp","2020-11-09T16:14:42.000Z","2020-11-14T19:40:47.000Z","[""3"",""12"",""13""]","0.000006","","","1801","1743","1503","","1623","","","0.8","0.94","","0.8","","","","","","","",""
"winter-bush-68","2nune4jh","2020-11-11T15:44:31.000Z","2020-11-14T19:26:07.000Z","[""3"",""12"",""13""]","0.000006","","","1801","1742","1681","","1321","","","0.9","0.97","","0.81","","","","","","","",""
"electric-cloud-69","3m7l0ew8","2020-11-11T15:48:33.000Z","2020-11-14T19:32:36.000Z","[""3"",""12"",""13""]","0.000006","","","1801","1081","1382","","1382","","","0.85","0.94","","0.8","","","","","","","",""
"apricot-snowball-42","9w1uzaxi","2020-10-26T04:23:13.000Z","2020-11-02T15:22:25.000Z","[""3"",""12"",""13""]","0.000006","","","1801","1562","1622","","1321","","","0.9","0.99","","0.8","","","","","","","",""
"valiant-darkness-46","dximlzzs","2020-10-26T04:31:35.000Z","2020-10-28T16:27:37.000Z","[""3"",""12"",""13""]","0.000006","","","1801","1682","1561","","1141","","","0.87","0.97","","0.79","","","","","","","",""
"ancient-dream-63","g32114jq","2020-11-09T16:12:48.000Z","2020-11-14T19:35:46.000Z","[""3"",""12"",""13""]","0.000006","","","1705","1562","962","","962","","","0.9","0.98","","0.81","","","","","","","",""
"hopeful-meadow-72","xr9kl9uu","2020-11-11T15:49:58.000Z","2020-11-14T19:35:06.000Z","[""3"",""12"",""13""]","0.000006","","","1801","1502","1741","","1262","","","0.85","0.97","","0.8","","","","","","","",""
